particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
e,5,19,1.1334,0.0381,1,1.750,5.250
e,6,19,0.8666,0.0330,1,1.750,5.250
e,1,20,0.9159,0.0405,1,1.750,5.250
e,2,20,0.9496,0.0412,1,1.750,5.250
e,3,20,0.8774,0.0390,1,1.750,5.250
e,4,20,0.9813,0.0419,1,1.750,5.250
e,5,20,3.7300,0.2588,0,1.750,5.250
e,6,20,1.0187,0.0426,1,1.750,5.250
e,1,21,0.9715,0.0478,1,1.750,5.250
e,2,21,0.9135,0.0470,1,1.750,5.250
e,3,21,0.6924,0.0382,1,1.750,5.250
e,4,21,0.9862,0.0486,1,1.750,5.250
e,5,21,1.0138,0.0484,1,1.750,5.250
e,6,21,0.9656,0.0489,1,1.750,5.250
e,1,22,0.7522,0.0775,1,1.750,5.250
e,2,22,0.8134,0.0875,1,1.750,5.250
e,3,22,0.7045,0.0736,1,1.750,5.250
e,4,22,0.8857,0.0946,1,1.750,5.250
e,5,22,0.7848,0.0750,1,1.750,5.250
e,6,22,1.1143,0.1081,1,1.750,5.250
e,1,23,0.4069,0.1810,1,1.750,5.250
e,2,23,1.2766,0.3597,1,1.750,5.250
e,3,23,0.2457,0.1058,1,1.750,5.250
e,4,23,0.4452,0.1728,1,1.750,5.250
e,5,23,0.2933,0.1397,1,1.750,5.250
e,6,23,0.7234,0.2232,1,1.750,5.250
e,1,24,1.2000,1.6971,1,1.750,5.250
e,5,24,0.8000,0.7303,1,1.750,5.250
p,1,4,1.2566,0.5282,1,1.750,5.250
p,2,4,0.1502,0.1518,1,1.750,5.250
p,3,4,0.7434,0.3266,1,1.750,5.250
p,5,4,0.1639,0.1568,1,1.750,5.250
p,1,5,0.6790,0.1047,1,1.750,5.250
p,2,5,0.5173,0.0891,0,1.750,5.250
p,3,5,1.1211,0.1266,1,1.750,5.250
p,4,5,0.1015,0.0390,1,1.750,5.250
p,5,5,1.1114,0.1396,0,1.750,5.250
p,6,5,0.8789,0.1163,1,1.750,5.250
p,1,6,0.9319,0.0674,1,1.750,5.250
p,2,6,0.8624,0.0643,1,1.750,5.250
p,3,6,1.0681,0.0709,1,1.750,5.250
p,4,6,0.0811,0.0196,1,1.750,5.250
p,5,6,0.1144,0.0256,1,1.750,5.250
p,6,6,0.3576,0.0416,1,1.750,5.250
p,1,7,1.0036,0.0412,1,1.750,5.250
p,2,7,0.9964,0.0411,1,1.750,5.250
p,3,7,0.9891,0.0405,1,1.750,5.250
p,4,7,0.0723,0.0109,1,1.750,5.250
p,5,7,0.1283,0.0157,1,1.750,5.250
p,6,7,0.2171,0.0191,1,1.750,5.250
p,1,8,0.5447,0.0204,1,1.750,5.250
p,2,8,0.8585,0.0255,1,1.750,5.250
p,3,8,1.0119,0.0275,1,1.750,5.250
p,4,8,0.3312,0.0157,1,1.750,5.250
p,5,8,0.7574,0.0250,1,1.750,5.250
p,6,8,0.9881,0.0275,1,1.750,5.250
p,1,9,0.7924,0.0181,1,1.750,5.250
p,2,9,0.8197,0.0181,1,1.750,5.250
p,3,9,0.9493,0.0193,1,1.750,5.250
p,4,9,1.0507,0.0205,1,1.750,5.250
p,5,9,0.1776,0.0088,1,1.750,5.250
