particle,sect,pdl,eff,eff_err,ko_eff,Q2lo,Q2hi
e,5,21,0.9317,0.0289,0,1.750,5.250
e,6,21,0.9871,0.0305,1,1.750,5.250
e,1,22,0.7055,0.0397,1,1.750,5.250
e,2,22,0.8924,0.0501,1,1.750,5.250
e,3,22,0.7359,0.0412,1,1.750,5.250
e,4,22,1.1076,0.0607,1,1.750,5.250
e,5,22,0.7777,0.0425,1,1.750,5.250
e,6,22,0.8387,0.0478,1,1.750,5.250
e,1,23,0.7391,0.1950,1,1.750,5.250
e,2,23,1.2609,0.2682,1,1.750,5.250
e,3,23,0.5415,0.1489,1,1.750,5.250
e,4,23,0.6402,0.1581,1,1.750,5.250
e,5,23,0.3267,0.1201,1,1.750,5.250
e,6,23,0.4913,0.1443,1,1.750,5.250
e,2,24,1.0000,0.9129,1,1.750,5.250
e,3,24,0.3333,0.4082,0,1.750,5.250
e,4,24,2.6667,2.9814,0,1.750,5.250
p,1,3,0.6297,0.2342,1,1.750,5.250
p,2,3,0.5148,0.1668,1,1.750,5.250
p,3,3,1.1954,0.2459,1,1.750,5.250
p,4,3,0.8046,0.2120,1,1.750,5.250
p,5,3,0.5877,0.1825,1,1.750,5.250
p,6,3,0.3488,0.1517,1,1.750,5.250
p,1,4,0.5039,0.0654,1,1.750,5.250
p,2,4,0.4362,0.0586,1,1.750,5.250
p,3,4,0.9932,0.0858,1,1.750,5.250
p,4,4,1.0068,0.0884,1,1.750,5.250
p,5,4,0.6557,0.0733,1,1.750,5.250
p,6,4,0.6162,0.0728,1,1.750,5.250
p,1,5,0.6931,0.0433,0,1.750,5.250
p,2,5,0.6351,0.0407,0,1.750,5.250
p,3,5,1.0976,0.0532,1,1.750,5.250
p,4,5,0.9830,0.0505,0,1.750,5.250
p,5,5,0.9024,0.0489,1,1.750,5.250
p,6,5,0.8644,0.0519,1,1.750,5.250
p,1,6,0.7913,0.0296,1,1.750,5.250
p,2,6,0.9528,0.0318,1,1.750,5.250
p,3,6,1.0355,0.0334,1,1.750,5.250
p,4,6,0.9477,0.0321,1,1.750,5.250
p,5,6,0.9645,0.0324,1,1.750,5.250
p,6,6,0.8835,0.0321,0,1.750,5.250
p,1,7,0.8203,0.0209,0,1.750,5.250
p,2,7,0.9544,0.0224,1,1.750,5.250
p,3,7,1.0146,0.0232,1,1.750,5.250
p,4,7,1.0389,0.0234,0,1.750,5.250
p,5,7,0.9854,0.0229,1,1.750,5.250
p,6,7,0.9016,0.0223,1,1.750,5.250
p,1,8,0.8639,0.0164,1,1.750,5.250
p,2,8,0.8895,0.0164,1,1.750,5.250
p,3,8,1.0136,0.0177,1,1.750,5.250
p,4,8,0.9864,0.0174,1,1.750,5.250
p,5,8,0.9705,0.0173,1,1.750,5.250
p,6,8,0.9722,0.0173,1,1.750,5.250
p,1,9,0.8527,0.0131,1,1.750,5.250
p,2,9,0.8998,0.0134,1,1.750,5.250
p,3,9,0.9481,0.0139,1,1.750,5.250
p,4,9,1.0002,0.0141,1,1.750,5.250
p,5,9,0.9788,0.0141,1,1.750,5.250
p,6,9,0.9998,0.0143,1,1.750,5.250
p,1,10,0.8914,0.0119,1,1.750,5.250
p,2,10,0.9364,0.0121,1,1.750,5.250
p,3,10,1.0138,0.0127,1,1.750,5.250
p,4,10,0.9839,0.0124,1,1.750,5.250
p,5,10,0.9795,0.0124,1,1.750,5.250
p,6,10,0.9862,0.0124,1,1.750,5.250
p,1,11,0.9159,0.0109,1,1.750,5.250
p,2,11,0.9570,0.0110,0,1.750,5.250
p,3,11,0.4389,0.0075,0,1.750,5.250
p,4,11,0.9241,0.0108,1,1.750,5.250
p,5,11,0.9699,0.0111,1,1.750,5.250
p,6,11,1.0301,0.0115,1,1.750,5.250
p,1,12,0.8568,0.0098,1,1.750,5.250
p,2,12,0.9698,0.0103,1,1.750,5.250
p,3,12,0.9633,0.0104,1,1.750,5.250
p,4,12,0.9029,0.0100,1,1.750,5.250
p,5,12,0.9361,0.0102,1,1.750,5.250
p,6,12,1.0302,0.0106,1,1.750,5.250
p,1,13,0.8764,0.0096,1,1.750,5.250
p,2,13,0.9796,0.0101,1,1.750,5.250
p,3,13,0.9569,0.0101,1,1.750,5.250
p,4,13,0.8904,0.0096,1,1.750,5.250
p,5,13,0.9243,0.0098,1,1.750,5.250
p,6,13,1.0204,0.0103,1,1.750,5.250
p,1,14,0.8507,0.0094,1,1.750,5.250
p,2,14,0.9853,0.0101,1,1.750,5.250
p,3,14,0.9550,0.0100,1,1.750,5.250
p,4,14,0.8514,0.0093,1,1.750,5.250
p,5,14,0.8831,0.0096,1,1.750,5.250
p,6,14,1.0147,0.0102,1,1.750,5.250
p,1,15,0.8479,0.0095,1,1.750,5.250
p,2,15,0.9826,0.0102,1,1.750,5.250
p,3,15,0.9352,0.0101,1,1.750,5.250
p,4,15,0.8393,0.0094,1,1.750,5.250
p,5,15,0.8742,0.0096,0,1.750,5.250
p,6,15,1.0174,0.0104,1,1.750,5.250
p,1,16,0.8950,0.0104,1,1.750,5.250
p,2,16,0.5930,0.0084,0,1.750,5.250
p,3,16,0.8915,0.0106,1,1.750,5.250
p,4,16,0.9038,0.0104,1,1.750,5.250
p,5,16,0.9443,0.0107,1,1.750,5.250
p,6,16,1.0557,0.0113,1,1.750,5.250
p,1,17,0.8296,0.0101,1,1.750,5.250
p,2,17,1.0044,0.0111,1,1.750,5.250
p,3,17,0.8302,0.0103,1,1.750,5.250
p,4,17,0.8199,0.0099,1,1.750,5.250
p,5,17,0.8642,0.0103,1,1.750,5.250
p,6,17,0.9956,0.0110,1,1.750,5.250
p,1,18,0.8838,0.0115,1,1.750,5.250
p,2,18,1.0711,0.0128,1,1.750,5.250
p,3,18,0.9289,0.0119,1,1.750,5.250
p,4,18,0.8949,0.0115,1,1.750,5.250
p,5,18,0.7591,0.0106,0,1.750,5.250
p,6,18,1.0504,0.0128,0,1.750,5.250
p,1,19,0.8691,0.0120,1,1.750,5.250
p,2,19,1.0419,0.0133,1,1.750,5.250
p,3,19,0.9293,0.0125,1,1.750,5.250
p,4,19,0.8550,0.0118,0,1.750,5.250
p,5,19,0.9369,0.0125,1,1.750,5.250
p,6,19,0.9581,0.0129,1,1.750,5.250
p,1,20,0.8879,0.0132,1,1.750,5.250
p,2,20,1.0175,0.0143,1,1.750,5.250
p,3,20,0.9825,0.0140,1,1.750,5.250
p,4,20,0.8925,0.0132,1,1.750,5.250
p,5,20,0.9825,0.0139,0,1.750,5.250
p,6,20,0.9473,0.0139,1,1.750,5.250
p,1,21,0.8723,0.0141,1,1.750,5.250
p,2,21,1.0281,0.0153,1,1.750,5.250
p,3,21,0.9480,0.0147,1,1.750,5.250
p,4,21,0.8634,0.0139,1,1.750,5.250
p,5,21,0.9339,0.0145,0,1.750,5.250
p,6,21,0.9719,0.0148,1,1.750,5.250
p,1,22,0.8470,0.0152,1,1.750,5.250
p,2,22,1.0290,0.0168,1,1.750,5.250
p,3,22,0.9450,0.0160,1,1.750,5.250
p,4,22,0.9033,0.0156,1,1.750,5.250
p,5,22,0.9710,0.0164,1,1.750,5.250
p,6,22,0.9494,0.0160,1,1.750,5.250
p,1,23,0.7975,0.0158,1,1.750,5.250
p,2,23,1.0070,0.0173,1,1.750,5.250
p,3,23,0.9310,0.0169,1,1.750,5.250
p,4,23,0.8290,0.0155,1,1.750,5.250
p,5,23,0.8667,0.0167,1,1.750,5.250
p,6,23,0.9930,0.0175,1,1.750,5.250
p,1,24,0.8926,0.0160,0,1.750,5.250
p,2,24,1.0307,0.0172,1,1.750,5.250
p,3,24,0.9510,0.0164,0,1.750,5.250
p,4,24,0.8968,0.0159,0,1.750,5.250
p,5,24,0.9651,0.0165,1,1.750,5.250
p,6,24,0.9693,0.0165,1,1.750,5.250
p,1,25,0.9410,0.0194,1,1.750,5.250
p,2,25,1.0590,0.0211,1,1.750,5.250
p,3,25,0.8152,0.0175,0,1.750,5.250
p,4,25,0.9024,0.0189,1,1.750,5.250
p,5,25,0.9309,0.0187,1,1.750,5.250
p,6,25,0.9092,0.0187,1,1.750,5.250
p,1,26,0.9266,0.0237,1,1.750,5.250
p,2,26,1.0734,0.0267,1,1.750,5.250
p,3,26,0.9098,0.0231,1,1.750,5.250
p,4,26,0.8645,0.0226,1,1.750,5.250
p,5,26,0.8377,0.0216,1,1.750,5.250
p,6,26,0.8575,0.0222,1,1.750,5.250
p,1,27,0.9343,0.0326,1,1.750,5.250
p,2,27,1.0657,0.0365,1,1.750,5.250
p,3,27,0.8825,0.0308,0,1.750,5.250
p,4,27,0.9343,0.0328,1,1.750,5.250
p,5,27,0.8279,0.0291,1,1.750,5.250
p,6,27,0.8055,0.0292,1,1.750,5.250
p,1,28,1.0280,0.0666,1,1.750,5.250
p,2,28,1.0526,0.0696,0,1.750,5.250
p,3,28,0.8266,0.0568,0,1.750,5.250
p,4,28,0.9720,0.0652,1,1.750,5.250
p,5,28,1.0316,0.0676,0,1.750,5.250
p,6,28,0.7008,0.0503,1,1.750,5.250
p,1,29,0.5716,0.1705,1,1.750,5.250
p,2,29,0.9249,0.3591,1,1.750,5.250
p,3,29,0.6263,0.3199,1,1.750,5.250
p,4,29,0.8600,0.3881,1,1.750,5.250
p,5,29,1.0751,0.4409,1,1.750,5.250
p,6,29,0.3862,0.1669,1,1.750,5.250
pip,1,3,0.9650,0.6657,1,1.750,5.250
pip,2,3,0.2808,0.1825,1,1.750,5.250
pip,3,3,0.7664,0.2883,1,1.750,5.250
pip,4,3,1.0350,0.4162,1,1.750,5.250
pip,5,3,0.2195,0.1981,1,1.750,5.250
pip,6,3,0.2012,0.1928,1,1.750,5.250
pip,1,4,1.1020,0.2542,1,1.750,5.250
pip,2,4,0.5842,0.1383,1,1.750,5.250
pip,3,4,0.5974,0.1295,1,1.750,5.250
pip,4,4,0.8980,0.1720,1,1.750,5.250
pip,5,4,0.6317,0.1415,1,1.750,5.250
pip,6,4,0.6318,0.1612,1,1.750,5.250
pip,1,5,0.9976,0.1005,0,1.750,5.250
pip,2,5,0.8489,0.0858,0,1.750,5.250
pip,3,5,1.0853,0.0933,1,1.750,5.250
pip,4,5,1.2988,0.1071,0,1.750,5.250
pip,5,5,0.6105,0.0737,1,1.750,5.250
pip,6,5,0.9147,0.1031,1,1.750,5.250
pip,1,6,1.0077,0.0675,1,1.750,5.250
pip,2,6,0.9454,0.0620,1,1.750,5.250
pip,3,6,0.9923,0.0634,1,1.750,5.250
pip,4,6,0.9769,0.0651,1,1.750,5.250
pip,5,6,0.8397,0.0614,1,1.750,5.250
