W/D	Q2	xs1	e1	xs2	e2	xs3	e3	xs4	e4	xs1b	e1b	xs2b	e2b	xs3b	e3b	xs4b	e4b
1.925	1.700	1395.088675	118.063726	1591.818179	126.113712	1404.152426	118.446629	1381.658742	117.494077	1439.577142	81.070639	1786.922258	81.070639	1439.615779	81.070639	1439.577136	81.070639
1.975	1.700	1135.456493	109.045577	1087.279600	106.707127	1151.242837	109.800996	1131.601191	108.860295	1170.448451	69.325223	1084.221974	69.325223	1170.448409	69.325223	1170.448838	69.325223
2.025	1.700	982.907199	113.685173	979.631819	113.495596	983.095413	113.696057	982.697229	113.673030	1084.138762	108.115237	1117.151015	108.115237	1084.138763	108.115237	1084.138763	108.115237
2.075	1.700	1100.029929	172.661404	1086.810356	171.620792	1093.174111	172.122516	1104.845032	173.038882	1364.619707	124.743177	1352.445755	124.743177	1364.624203	124.743177	1364.619712	124.743177
2.125	1.700	756.400036	95.523608	750.839498	95.171848	751.458443	95.211067	759.889959	95.743720	785.925250	61.075055	765.137837	61.075055	785.910596	61.075055	785.904286	61.075055
2.175	1.700	764.916634	92.796074	747.676592	91.744374	756.994356	92.314276	770.608394	93.140682	845.729004	63.963087	865.908960	63.963087	845.729005	63.963087	845.729004	63.963087
2.225	1.700	800.362265	103.579089	775.262486	101.942005	770.469546	101.626396	803.445601	103.778413	858.743206	58.714304	801.141392	58.714304	703.659617	58.714304	858.743207	58.714304
2.275	1.700	755.458679	101.143676	761.551339	101.550711	747.755152	100.626666	759.830572	101.435917	798.938687	54.552450	793.779905	54.552450	798.938466	54.552450	798.938467	54.552450
2.325	1.700	578.819617	86.167675	604.229715	88.038734	572.428490	85.690637	582.669406	86.453755	660.267162	52.072587	741.287887	52.072587	660.263314	52.072587	660.264525	52.072587
2.375	1.700	553.931369	71.519216	619.429432	75.629405	551.023821	71.331270	557.692830	71.761630	584.691330	40.225982	689.112814	40.225982	584.690476	40.225982	584.690639	40.225982
2.425	1.700	479.839911	63.600926	530.092545	66.848413	478.061083	63.482928	481.721532	63.725505	515.492751	33.839164	583.249387	33.839164	515.492752	33.839164	515.494683	33.839164
2.475	1.700	439.126451	66.194974	492.838191	70.126537	436.587756	66.003352	441.034849	66.338656	478.533683	35.288754	554.653354	35.288754	478.533694	35.288754	478.533704	35.288754
2.525	1.700	411.968691	60.282998	475.158655	64.741396	409.216979	60.081333	414.365312	60.458091	418.386792	31.079706	499.980333	31.079706	418.386792	31.079706	418.386797	31.079706
2.575	1.700	395.152408	65.188199	462.237466	70.504890	393.152222	65.023005	395.927498	65.252101	428.548581	32.578497	505.702795	32.578497	421.630352	32.578497	428.548618	32.578497
2.625	1.700	354.931790	52.313315	404.447406	55.843267	349.368040	51.901676	356.135024	52.401912	359.656771	25.974331	425.419059	25.974331	359.656773	25.974331	359.656771	25.974331
2.675	1.700	343.052476	47.304276	348.021193	47.645618	320.598649	45.729975	327.018238	46.185549	379.279985	25.877826	392.110511	25.877826	379.279984	25.877826	379.279985	25.877826
2.725	1.700	275.186730	42.717341	326.936456	46.560983	270.390973	42.343481	276.617404	42.828239	302.682453	24.911081	271.380943	24.911081	302.682455	24.911081	302.682454	24.911081
2.775	1.700	223.333683	36.387540	257.105599	39.041936	205.583982	34.911638	211.353115	35.398097	226.819132	25.315996	154.172718	25.315996	226.819132	25.315996	226.819132	25.315996
2.825	1.700	150.876153	29.109479	168.265419	30.741254	131.463751	27.172347	137.485765	27.787726	110.747142	25.132400	134.326479	25.132400	110.744701	25.132400	110.743852	25.132400
2.875	1.700	45.231955	16.132746	33.517504	13.887416	34.621440	14.114262	36.866629	14.564726	28.188922	13.670932	13.875605	13.670932	28.188807	13.670932	28.188807	13.670932
1.725	1.950	691.173641	46.270338	397.678953	35.097436	733.531576	47.667074	695.676500	46.420814	469.124174	31.277562	0.191158	31.277562	469.119391	31.277562	469.118513	31.277562
1.775	1.950	1508.324369	82.711147	1555.707651	84.000266	1498.910004	82.452618	1474.625303	81.781959	1465.311641	49.054502	1547.374036	49.054502	1465.311825	49.054502	1465.311512	49.054502
1.825	1.950	1020.376954	83.122080	1049.676504	84.307035	1107.106215	86.582620	1030.340005	83.526900	1104.293603	62.114992	1158.140246	62.114992	1104.294352	62.114992	1035.903689	62.114992
1.875	1.950	1003.211698	94.756788	970.960763	93.221240	991.204516	94.188021	959.480632	92.668502	899.365674	76.168955	728.196642	76.168955	899.365816	76.168955	899.365671	76.168955
1.925	1.950	1051.305210	75.263675	1014.121661	73.920695	1040.625883	74.880429	1020.207001	74.142147	981.842948	51.777523	886.662698	51.777523	981.842945	51.777523	981.842955	51.777523
1.975	1.950	1048.557886	79.104861	1012.010419	77.714035	1058.291223	79.471162	1045.670881	78.995886	1100.947708	51.229255	1086.914651	51.229255	1148.760754	51.229255	1148.760754	51.229255
2.025	1.950	829.489175	80.311050	883.181245	82.869527	837.697482	80.707436	827.233001	80.201754	869.372588	51.101774	987.672733	51.101774	869.372605	51.101774	869.368168	51.101774
2.075	1.950	869.401054	96.690867	846.084081	95.385451	860.912844	96.217699	872.948831	96.887950	978.851599	62.588267	882.705271	62.588267	978.851599	62.588267	978.851609	62.588267
2.125	1.950	803.769980	115.301783	793.647920	114.573472	774.479642	113.181420	784.975235	113.945745	945.322650	80.509604	969.704975	80.509604	945.322673	80.509604	945.322651	80.509604
2.175	1.950	731.586615	83.949642	721.005052	83.340313	725.150048	83.579527	735.787055	84.190297	764.449459	47.320681	765.170244	47.320681	764.449458	47.320681	764.454371	47.320681
2.225	1.950	678.783563	70.650864	681.009047	70.766588	678.381131	70.629917	680.029575	70.715679	718.408042	40.576167	775.107296	40.576167	718.408042	40.576167	718.408042	40.576167
2.275	1.950	576.619255	64.771259	594.326011	65.758233	574.124864	64.631010	581.352367	65.036549	623.809293	37.792777	637.188770	37.792777	623.809282	37.792777	623.809293	37.792777
2.325	1.950	578.276804	70.430272	618.750126	72.853284	576.310660	70.310439	583.453603	70.744820	649.688782	38.060252	692.850961	38.060252	649.688784	38.060252	649.688781	38.060252
2.375	1.950	518.428110	67.032678	544.819365	68.717692	517.503708	66.972888	519.888810	67.127045	564.079976	36.423600	619.309935	36.423600	564.078086	36.423600	564.079889	36.423600
